# JIS X 0212-1990 Database for Adobe-Japan1-6
# Based on UniJIS-UTF{8,16,32}-H CMap Files
# by Ken Lunde (lunde@adobe.com)
# Version June 5, 2004
#
# Because Adobe-Japan1-6 obsoletes Adobe-Japan2-0, the correspondence
# between the two character collections is provided.
#
# Adobe-Japan1-6 CIDs in parentheses are those that are considered the
# prototypical glyphs from the JIS X 0212-1990 standard. In the case
# of kanji, they are made accessible through the OpenType 'hojo' GSUB
# feature.
#
KuTen	2022JP	EUCJP	Unicode	Adobe-Japan1-6	Adobe-Japan2-0
0215	0x222F	0x8FA2AF	U+02D8	15738	1
0216	0x2230	0x8FA2B0	U+02C7	15749	2
0217	0x2231	0x8FA2B1	U+00B8	134	3
0218	0x2232	0x8FA2B2	U+02D9	15782	4
0219	0x2233	0x8FA2B3	U+02DD	15753	5
0220	0x2234	0x8FA2B4	U+00AF	129	6
0221	0x2235	0x8FA2B5	U+02DB	15746	7
0222	0x2236	0x8FA2B6	U+02DA	133	8
0223	0x2237	0x8FA2B7	U+007E	100	9
0224	0x2238	0x8FA2B8	U+0384	20317	10
0225	0x2239	0x8FA2B9	U+0385	20318	11
0234	0x2242	0x8FA2C2	U+00A1	101	12
0235	0x2243	0x8FA2C3	U+00A6	93	13
0236	0x2244	0x8FA2C4	U+00BF	126	14
0275	0x226B	0x8FA2EB	U+00BA	144 (20319)	15
0276	0x226C	0x8FA2EC	U+00AA	140 (20320)	16
0277	0x226D	0x8FA2ED	U+00A9	152	17
0278	0x226E	0x8FA2EE	U+00AE	154	18
0279	0x226F	0x8FA2EF	U+2122	228	19
0280	0x2270	0x8FA2F0	U+00A4	107	20
0281	0x2271	0x8FA2F1	U+2116	7610 (20321)	21
0665	0x2661	0x8FA6E1	U+0386	20427	22
0666	0x2662	0x8FA6E2	U+0388	20428	23
0667	0x2663	0x8FA6E3	U+0389	20429	24
0668	0x2664	0x8FA6E4	U+038A	20430	25
0669	0x2665	0x8FA6E5	U+03AA	20431	26
0671	0x2667	0x8FA6E7	U+038C	20432	27
0673	0x2669	0x8FA6E9	U+038E	20433	28
0674	0x266A	0x8FA6EA	U+03AB	20434	29
0676	0x266C	0x8FA6EC	U+038F	20435	30
0681	0x2671	0x8FA6F1	U+03AC	20436	31
0682	0x2672	0x8FA6F2	U+03AD	20437	32
0683	0x2673	0x8FA6F3	U+03AE	20438	33
0684	0x2674	0x8FA6F4	U+03AF	20439	34
0685	0x2675	0x8FA6F5	U+03CA	20440	35
0686	0x2676	0x8FA6F6	U+0390	20441	36
0687	0x2677	0x8FA6F7	U+03CC	20442	37
0688	0x2678	0x8FA6F8	U+03C2	16222	38
0689	0x2679	0x8FA6F9	U+03CD	20443	39
0690	0x267A	0x8FA6FA	U+03CB	20444	40
0691	0x267B	0x8FA6FB	U+03B0	20445	41
0692	0x267C	0x8FA6FC	U+03CE	20446	42
0734	0x2742	0x8FA7C2	U+0402	20447	43
0735	0x2743	0x8FA7C3	U+0403	20448	44
0736	0x2744	0x8FA7C4	U+0404	20449	45
0737	0x2745	0x8FA7C5	U+0405	20450	46
0738	0x2746	0x8FA7C6	U+0406	20451	47
0739	0x2747	0x8FA7C7	U+0407	20452	48
0740	0x2748	0x8FA7C8	U+0408	20453	49
0741	0x2749	0x8FA7C9	U+0409	20454	50
0742	0x274A	0x8FA7CA	U+040A	20455	51
0743	0x274B	0x8FA7CB	U+040B	20456	52
0744	0x274C	0x8FA7CC	U+040C	20457	53
0745	0x274D	0x8FA7CD	U+040E	20458	54
0746	0x274E	0x8FA7CE	U+040F	20459	55
0782	0x2772	0x8FA7F2	U+0452	20460	56
0783	0x2773	0x8FA7F3	U+0453	20461	57
0784	0x2774	0x8FA7F4	U+0454	20462	58
0785	0x2775	0x8FA7F5	U+0455	20463	59
0786	0x2776	0x8FA7F6	U+0456	20464	60
0787	0x2777	0x8FA7F7	U+0457	20465	61
0788	0x2778	0x8FA7F8	U+0458	20466	62
0789	0x2779	0x8FA7F9	U+0459	20467	63
0790	0x277A	0x8FA7FA	U+045A	20468	64
0791	0x277B	0x8FA7FB	U+045B	20469	65
0792	0x277C	0x8FA7FC	U+045C	20470	66
0793	0x277D	0x8FA7FD	U+045E	20471	67
0794	0x277E	0x8FA7FE	U+045F	20472	68
0901	0x2921	0x8FA9A1	U+00C6	139	69
0902	0x2922	0x8FA9A2	U+0110	20322	70
0904	0x2924	0x8FA9A4	U+0126	20323	71
0906	0x2926	0x8FA9A6	U+0132	20324	72
0908	0x2928	0x8FA9A8	U+0141	141	73
0909	0x2929	0x8FA9A9	U+013F	20325	74
0911	0x292B	0x8FA9AB	U+014A	20326	75
0912	0x292C	0x8FA9AC	U+00D8	142	76
0913	0x292D	0x8FA9AD	U+0152	143	77
0915	0x292F	0x8FA9AF	U+0166	20327	78
0916	0x2930	0x8FA9B0	U+00DE	192	79
0933	0x2941	0x8FA9C1	U+00E6	145	80
0934	0x2942	0x8FA9C2	U+0111	15775	81
0935	0x2943	0x8FA9C3	U+00F0	208	82
0936	0x2944	0x8FA9C4	U+0127	15816	83
0937	0x2945	0x8FA9C5	U+0131	146	84
0938	0x2946	0x8FA9C6	U+0133	20328	85
0939	0x2947	0x8FA9C7	U+0138	20329	86
0940	0x2948	0x8FA9C8	U+0142	147	87
0941	0x2949	0x8FA9C9	U+0140	20330	88
0942	0x294A	0x8FA9CA	U+0149	20331	89
0943	0x294B	0x8FA9CB	U+014B	9436	90
0944	0x294C	0x8FA9CC	U+00F8	148	91
0945	0x294D	0x8FA9CD	U+0153	149	92
0946	0x294E	0x8FA9CE	U+00DF	150	93
0947	0x294F	0x8FA9CF	U+0167	20332	94
0948	0x2950	0x8FA9D0	U+00FE	221	95
1001	0x2A21	0x8FAAA1	U+00C1	165	96
1002	0x2A22	0x8FAAA2	U+00C0	164	97
1003	0x2A23	0x8FAAA3	U+00C4	168	98
1004	0x2A24	0x8FAAA4	U+00C2	166	99
1005	0x2A25	0x8FAAA5	U+0102	15756	100
1006	0x2A26	0x8FAAA6	U+01CD	9394	101
1007	0x2A27	0x8FAAA7	U+0100	9366	102
1008	0x2A28	0x8FAAA8	U+0104	15737	103
1009	0x2A29	0x8FAAA9	U+00C5	169	104
1010	0x2A2A	0x8FAAAA	U+00C3	167	105
1011	0x2A2B	0x8FAAAB	U+0106	15758	106
1012	0x2A2C	0x8FAAAC	U+0108	15783	107
1013	0x2A2D	0x8FAAAD	U+010C	15759	108
1014	0x2A2E	0x8FAAAE	U+00C7	170	109
1015	0x2A2F	0x8FAAAF	U+010A	20333	110
1016	0x2A30	0x8FAAB0	U+010E	15761	111
1017	0x2A31	0x8FAAB1	U+00C9	172	112
1018	0x2A32	0x8FAAB2	U+00C8	171	113
1019	0x2A33	0x8FAAB3	U+00CB	174	114
1020	0x2A34	0x8FAAB4	U+00CA	173	115
1021	0x2A35	0x8FAAB5	U+011A	9395	116
1022	0x2A36	0x8FAAB6	U+0116	20334	117
1023	0x2A37	0x8FAAB7	U+0112	9369	118
1024	0x2A38	0x8FAAB8	U+0118	15760	119
1026	0x2A3A	0x8FAABA	U+011C	15784	120
1027	0x2A3B	0x8FAABB	U+011E	20335	121
1028	0x2A3C	0x8FAABC	U+0122	20336	122
1029	0x2A3D	0x8FAABD	U+0120	20337	123
1030	0x2A3E	0x8FAABE	U+0124	15785	124
1031	0x2A3F	0x8FAABF	U+00CD	176	125
1032	0x2A40	0x8FAAC0	U+00CC	175	126
1033	0x2A41	0x8FAAC1	U+00CF	178	127
1034	0x2A42	0x8FAAC2	U+00CE	177	128
1035	0x2A43	0x8FAAC3	U+01CF	9398	129
1036	0x2A44	0x8FAAC4	U+0130	20338	130
1037	0x2A45	0x8FAAC5	U+012A	9367	131
1038	0x2A46	0x8FAAC6	U+012E	20339	132
1039	0x2A47	0x8FAAC7	U+0128	9400	133
1040	0x2A48	0x8FAAC8	U+0134	15786	134
