# cid2code.txt (Beta Version 2018-05-15)
#
# The data in this table contains four tab-delimited columns of
# information. The contents of this file supplement "The Adobe-KR-9
# Character Collection":
#
# https://github.com/adobe-type-tools/Adobe-KR/
#
# This table contains lists CIDs 0 through 22875 in the first column,
# and provides additional columns that indicate whether a CID is used
# in a particular CMap file, and if so, provides the encoded
# value. Here are some common aspects of the data that you will find
# in this table:
#
# o All character codes are provided in hexadecimal notation.
#
# o There are cases of multiple code points mapping to the same CID
#   within a single CMap resource. These cases are comma-delimited
#   within the same column.
#
# The following is a synopsis of columns 2 through 4, and provides
# information about character set and encoding:
#
# o Column 2: Character codes for the "UniAKR-UTF8-H" CMap resource
#   (Unicode Version 10.0 UTF-8 encoding).
#
# o Column 3: Character codes for the "UniAKR-UTF16-H" CMap resource
#   (Unicode Version 10.0 UTF-16 encoding).
#
# o Column 4: Character codes for the "UniAKR-UTF32-H" CMap resource
#   (Unicode Version 10.0 UTF-32 encoding).
#
CID	UniAKR-UTF8	UniAKR-UTF16	UniAKR-UTF32
0	*	*	*
1	c2a0,20	00a0,0020	000000a0,00000020
2	21	0021	00000021
3	22	0022	00000022
4	23	0023	00000023
5	24	0024	00000024
6	25	0025	00000025
7	26	0026	00000026
8	27	0027	00000027
9	28	0028	00000028
10	29	0029	00000029
11	2a	002a	0000002a
12	2b	002b	0000002b
13	2c	002c	0000002c
14	c2ad,e28090,e28091,2d	00ad,2010,2011,002d	000000ad,00002010,00002011,0000002d
15	2e	002e	0000002e
16	2f	002f	0000002f
17	30	0030	00000030
18	31	0031	00000031
19	32	0032	00000032
20	33	0033	00000033
21	34	0034	00000034
22	35	0035	00000035
23	36	0036	00000036
24	37	0037	00000037
25	38	0038	00000038
26	39	0039	00000039
27	3a	003a	0000003a
28	3b	003b	0000003b
29	3c	003c	0000003c
30	3d	003d	0000003d
31	3e	003e	0000003e
32	3f	003f	0000003f
33	40	0040	00000040
34	41	0041	00000041
35	42	0042	00000042
36	43	0043	00000043
37	44	0044	00000044
38	45	0045	00000045
39	46	0046	00000046
40	47	0047	00000047
41	48	0048	00000048
42	49	0049	00000049
43	4a	004a	0000004a
44	4b	004b	0000004b
45	4c	004c	0000004c
46	4d	004d	0000004d
47	4e	004e	0000004e
48	4f	004f	0000004f
49	50	0050	00000050
50	51	0051	00000051
51	52	0052	00000052
52	53	0053	00000053
53	54	0054	00000054
54	55	0055	00000055
55	56	0056	00000056
56	57	0057	00000057
57	58	0058	00000058
58	59	0059	00000059
59	5a	005a	0000005a
60	5b	005b	0000005b
61	5c	005c	0000005c
62	5d	005d	0000005d
63	5e	005e	0000005e
64	5f	005f	0000005f
65	60	0060	00000060
66	61	0061	00000061
67	62	0062	00000062
68	63	0063	00000063
69	64	0064	00000064
70	65	0065	00000065
71	66	0066	00000066
72	67	0067	00000067
73	68	0068	00000068
74	69	0069	00000069
75	6a	006a	0000006a
76	6b	006b	0000006b
77	6c	006c	0000006c
78	6d	006d	0000006d
79	6e	006e	0000006e
80	6f	006f	0000006f
81	70	0070	00000070
82	71	0071	00000071
83	72	0072	00000072
84	73	0073	00000073
85	74	0074	00000074
86	75	0075	00000075
87	76	0076	00000076
88	77	0077	00000077
89	78	0078	00000078
90	79	0079	00000079
91	7a	007a	0000007a
92	7b	007b	0000007b
93	7c	007c	0000007c
94	7d	007d	0000007d
95	7e	007e	0000007e
96	c2a2	00a2	000000a2
97	c2a3	00a3	000000a3
98	c2a4	00a4	000000a4
99	c2a5	00a5	000000a5
100	c2a9	00a9	000000a9
101	c2ae	00ae	000000ae
102	c2b0	00b0	000000b0
103	c2b1	00b1	000000b1
104	c2b6	00b6	000000b6
105	c2b7	00b7	000000b7
106	c397	00d7	000000d7
107	c3b7	00f7	000000f7
108	e28082	2002	00002002
109	e28083	2003	00002003
110	e28084	2004	00002004
111	e28085	2005	00002005
112	e28086	2006	00002006
113	e28087	2007	00002007
114	e28089	2009	00002009
115	e2808a	200a	0000200a
116	e28092	2012	00002012
117	e28093	2013	00002013
118	e28094	2014	00002014
119	e28095	2015	00002015
120	e28098	2018	00002018
121	e28099	2019	00002019
122	e2809c	201c	0000201c
123	e2809d	201d	0000201d
124	e280a0	2020	00002020
125	e280a1	2021	00002021
126	e280a2	2022	00002022
127	e280a3	2023	00002023
128	e280a5	2025	00002025
129	e280a6	2026	00002026
130	e280b2	2032	00002032
131	e280b3	2033	00002033
132	e280bb	203b	0000203b
133	e282a9	20a9	000020a9
134	e282ac	20ac	000020ac
135	e28483	2103	00002103
136	e28489	2109	00002109
137	e284a2	2122	00002122
138	e28690	2190	00002190
139	e28691	2191	00002191
140	e28692	2192	00002192
141	e28693	2193	00002193
142	e28694	2194	00002194
143	e28695	2195	00002195
144	e28696	2196	00002196
145	e28697	2197	00002197
146	e28698	2198	00002198
147	e28699	2199	00002199
148	e28892	2212	00002212
149	e296a1	25a1	000025a1
150	e2978b	25cb	000025cb
151	e297a6	25e6	000025e6
152	e29d8c	274c	0000274c
153	e2b8ba	2e3a	00002e3a
154	e2b8bb	2e3b	00002e3b
155	e28ca9,e38088	2329,3008	00002329,00003008
156	e28caa,e38089	232a,3009	0000232a,00003009
157	e3808a	300a	0000300a
158	e3808b	300b	0000300b
159	e3808c	300c	0000300c
160	e3808d	300d	0000300d
161	e3808e	300e	0000300e
162	e3808f	300f	0000300f
163	e38090	3010	00003010
164	e38091	3011	00003011
165	e38094	3014	00003014
166	e38095	3015	00003015
167	e384b1,efbea1	3131,ffa1	00003131,0000ffa1
168	e384b2,efbea2	3132,ffa2	00003132,0000ffa2
169	e384b3,efbea3	3133,ffa3	00003133,0000ffa3
170	e384b4,efbea4	3134,ffa4	00003134,0000ffa4
171	e384b5,efbea5	3135,ffa5	00003135,0000ffa5
172	e384b6,efbea6	3136,ffa6	00003136,0000ffa6
173	e384b7,efbea7	3137,ffa7	00003137,0000ffa7
174	e384b8,efbea8	3138,ffa8	00003138,0000ffa8
175	e384b9,efbea9	3139,ffa9	00003139,0000ffa9
176	e384ba,efbeaa	313a,ffaa	0000313a,0000ffaa
177	e384bb,efbeab	313b,ffab	0000313b,0000ffab
178	e384bc,efbeac	313c,ffac	0000313c,0000ffac
