# cid2code.txt (Version 11/15/2023)
#
# The data in this table contains 4 tab-delimited columns of
# information. The contents of this file supplement "The
# Adobe-Manga1-0 Character Collection":
#
# https://github.com/adobe-type-tools/Adobe-Manga1/
#
# This table contains lists CIDs 0 through 18031 in the first column,
# and provides additional columns that indicate whether a CID is used
# in a particular CMap file, and if so, provides the encoded
# value. Here are some common aspects of the data that you will find
# in this table:
#
# o All character codes are provided in hexadecimal notation.
#
# o All of the CMap files indicated at the head of each column have
#   both "-H" (horizontal writing mode) and "-V" (vertical writing
#   mode) versions.
# 
# o The character codes found in a corresponding "-V" (vertical
#   writing mode) CMap file are indicated by a "v" appended to the
#   hexadecimal code.
#
# o There may be cases of single CIDs being referenced in multiple
#   encoding points within a single CMap file. These cases are
#   comma-delimited, within the same column.
#
# The following is a synopsis of columns 2 through 4, and provides
# information about character set and encoding:
#
# o Column 2: Character codes for the "UniManga-UTF8-H" and "UniManga-UTF8-V"
#   CMaps (Unicode 15.0 UTF-8 encoding).
#
# o Column 3: Character codes for the "UniManga-UTF16-H" and
#   "UniManga-UTF16-V" CMaps (Unicode 15.0 UTF-16 encoding).
#
# o Column 4: Character codes for the "UniManga-UTF32-H" and
#   "UniManga-UTF32-V" CMaps (Unicode 15.0 UTF-32 encoding). 
#
#
#
CID	UniManga-UTF8	UniManga-UTF16	UniManga-UTF32
0	*	*	*
1	20,c2a0	0020,00a0	00000020,000000a0
2	21	0021	00000021
3	22	0022	00000022
4	23	0023	00000023
5	24	0024	00000024
6	25	0025	00000025
7	26	0026	00000026
8	27	0027	00000027
9	28	0028	00000028
10	29	0029	00000029
11	2a	002a	0000002a
12	2b	002b	0000002b
13	2c	002c	0000002c
14	2d,c2ad,e28091	002d,00ad,2011	0000002d,000000ad,00002011
15	2e	002e	0000002e
16	2f	002f	0000002f
17	30	0030	00000030
18	31	0031	00000031
19	32	0032	00000032
20	33	0033	00000033
21	34	0034	00000034
22	35	0035	00000035
23	36	0036	00000036
24	37	0037	00000037
25	38	0038	00000038
26	39	0039	00000039
27	3a	003a	0000003a
28	3b	003b	0000003b
29	3c	003c	0000003c
30	3d	003d	0000003d
31	3e	003e	0000003e
32	3f	003f	0000003f
33	40	0040	00000040
34	41	0041	00000041
35	42	0042	00000042
36	43	0043	00000043
37	44	0044	00000044
38	45	0045	00000045
39	46	0046	00000046
40	47	0047	00000047
41	48	0048	00000048
42	49	0049	00000049
43	4a	004a	0000004a
44	4b	004b	0000004b
45	4c	004c	0000004c
46	4d	004d	0000004d
47	4e	004e	0000004e
48	4f	004f	0000004f
49	50	0050	00000050
50	51	0051	00000051
51	52	0052	00000052
52	53	0053	00000053
53	54	0054	00000054
54	55	0055	00000055
55	56	0056	00000056
56	57	0057	00000057
57	58	0058	00000058
58	59	0059	00000059
59	5a	005a	0000005a
60	5b	005b	0000005b
61	5c	005c	0000005c
62	5d	005d	0000005d
63	5e	005e	0000005e
64	5f	005f	0000005f
65	60	0060	00000060
66	61	0061	00000061
67	62	0062	00000062
68	63	0063	00000063
69	64	0064	00000064
70	65	0065	00000065
71	66	0066	00000066
72	67	0067	00000067
73	68	0068	00000068
74	69	0069	00000069
75	6a	006a	0000006a
76	6b	006b	0000006b
77	6c	006c	0000006c
78	6d	006d	0000006d
79	6e	006e	0000006e
80	6f	006f	0000006f
81	70	0070	00000070
82	71	0071	00000071
83	72	0072	00000072
84	73	0073	00000073
85	74	0074	00000074
86	75	0075	00000075
87	76	0076	00000076
88	77	0077	00000077
89	78	0078	00000078
90	79	0079	00000079
91	7a	007a	0000007a
92	7b	007b	0000007b
93	7c	007c	0000007c
94	7d	007d	0000007d
95	7e	007e	0000007e
96	c2a1	00a1	000000a1
97	c2a2	00a2	000000a2
98	c2a3	00a3	000000a3
99	c2a4	00a4	000000a4
100	c2a5	00a5	000000a5
101	c2a6	00a6	000000a6
102	c2a7	00a7	000000a7
103	c2a8	00a8	000000a8
104	c2a9	00a9	000000a9
105	c2aa	00aa	000000aa
106	c2ab	00ab	000000ab
