# cid2code.txt (Version 09/22/2009)
#
# * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
# * * * * * * * * D E P R E C A T I O N   N O T I C E * * * * * * * *
#
# The use of the Adobe-Japan2-0 character collection is now deprecated
# because the Adobe-Japan1-6 character collection made it
# obsolete. Please refer to the two files named "jisx0212-jp90.txt"
# and "jisx0212-jp04.txt" for the mapping from Adobe-Japan2-0 CIDs to
# corresponding Adobe-Japan1-6 CIDs.
#
# * * * * * * * * D E P R E C A T I O N   N O T I C E * * * * * * * *
# * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
# The data in this table contains seven tab-delimited columns of
# information. The contents of this file supplement Technical Note
# #5097 "Adobe-Japan2-0 Character Collection for CID-Keyed Fonts":
#
# http://www.adobe.com/devnet/font/
#
# This table contains lists CIDs 0 through 6067 in the first column,
# and provides additional columns that indicate whether a CID is used
# in a particular CMap resource, and if so, provides the encoded
# value. Here are some common aspects of the data that you will find
# in this table:
#
# o All character codes are provided in hexadecimal notation.
#
# o Many of the CMap resources indicated at the head of each column
#   have both "-H" (horizontal writing mode) and "-V" (vertical
#   writing mode) versions. Those with only a "-H" version are
#   explicitly shown with the "-H" appended. Those with both do not
#   have a writing mode suffix.
#
# o The character codes found in a corresponding "-V" (vertical
#   writing mode) CMap resource are indicated by a "v" appended to the
#   hexadecimal code.
#
# o There may be cases of single CIDs being referenced in multiple
#   encoding points within a single CMap resource. These cases are
#   comma-delimited, within the same column.
#
# The following is a synopsis of columns 2 and 7, and provides
# information about character set and encoding:
#
# o Column 2: Character codes for the "Hojo-H" and "Hojo-V" CMaps (JIS
#   X 0212-1990 character set, ISO-2022-JP-1 encoding).
#
# o Column 3: Character codes for the "Hojo-EUC-H" and "Hojo-EUC-V"
#   CMaps (JIS X 0212-1990 character set, EUC-JP encoding).
#
# o Column 4: Character codes for the "UniHojo-UCS2-H" and
#   "UniHojo-UCS2-V" CMaps (Unicode UCS-2/UTF-16 encoding).
#   (NOTE: These two CMap files are no longer being maintained. The
#   use of the UTF-8, UTF-16, and UTF-32 CMap files is recommended.)
#
# o Column 5: Character codes for the "UniHojo-UTF8-H" and
#   "UniHojo-UTF8-V" CMaps (Unicode UTF-8 encoding).
#
# o Column 6: Character codes for the "UniHojo-UTF16-H" and
#   "UniHojo-UTF16-V" CMaps (Unicode UTF-16 encoding).
#
# o Column 7: Character codes for the "UniHojo-UTF32-H" and
#   "UniHojo-UTF32-V" CMaps (Unicode UTF-32 encoding).
#
CID	Hojo	Hojo-EUC	UniHojo-UCS2	UniHojo-UTF8	UniHojo-UTF16	UniHojo-UTF32
0	*	*	*	*	*	*
1	222f	8fa2af	02d8	cb98	02d8	000002d8
2	2230	8fa2b0	02c7	cb87	02c7	000002c7
3	2231	8fa2b1	00b8	c2b8	00b8	000000b8
4	2232	8fa2b2	02d9	cb99	02d9	000002d9
5	2233	8fa2b3	02dd	cb9d	02dd	000002dd
6	2234	8fa2b4	00af	c2af	00af	000000af
7	2235	8fa2b5	02db	cb9b	02db	000002db
8	2236	8fa2b6	02da	cb9a	02da	000002da
9	2237	8fa2b7	007e	7e	007e	0000007e
10	2238	8fa2b8	0384	ce84	0384	00000384
11	2239	8fa2b9	0385	ce85	0385	00000385
12	2242	8fa2c2	00a1	c2a1	00a1	000000a1
13	2243	8fa2c3	00a6	c2a6	00a6	000000a6
14	2244	8fa2c4	00bf	c2bf	00bf	000000bf
15	226b	8fa2eb	00ba	c2ba	00ba	000000ba
16	226c	8fa2ec	00aa	c2aa	00aa	000000aa
17	226d	8fa2ed	00a9	c2a9	00a9	000000a9
18	226e	8fa2ee	00ae	c2ae	00ae	000000ae
19	226f	8fa2ef	2122	e284a2	2122	00002122
20	2270	8fa2f0	00a4	c2a4	00a4	000000a4
21	2271	8fa2f1	2116	e28496	2116	00002116
22	2661	8fa6e1	0386	ce86	0386	00000386
23	2662	8fa6e2	0388	ce88	0388	00000388
24	2663	8fa6e3	0389	ce89	0389	00000389
25	2664	8fa6e4	038a	ce8a	038a	0000038a
26	2665	8fa6e5	03aa	ceaa	03aa	000003aa
27	2667	8fa6e7	038c	ce8c	038c	0000038c
28	2669	8fa6e9	038e	ce8e	038e	0000038e
29	266a	8fa6ea	03ab	ceab	03ab	000003ab
30	266c	8fa6ec	038f	ce8f	038f	0000038f
31	2671	8fa6f1	03ac	ceac	03ac	000003ac
32	2672	8fa6f2	03ad	cead	03ad	000003ad
33	2673	8fa6f3	03ae	ceae	03ae	000003ae
34	2674	8fa6f4	03af	ceaf	03af	000003af
35	2675	8fa6f5	03ca	cf8a	03ca	000003ca
36	2676	8fa6f6	0390	ce90	0390	00000390
37	2677	8fa6f7	03cc	cf8c	03cc	000003cc
38	2678	8fa6f8	03c2	cf82	03c2	000003c2
39	2679	8fa6f9	03cd	cf8d	03cd	000003cd
40	267a	8fa6fa	03cb	cf8b	03cb	000003cb
41	267b	8fa6fb	03b0	ceb0	03b0	000003b0
42	267c	8fa6fc	03ce	cf8e	03ce	000003ce
43	2742	8fa7c2	0402	d082	0402	00000402
44	2743	8fa7c3	0403	d083	0403	00000403
45	2744	8fa7c4	0404	d084	0404	00000404
46	2745	8fa7c5	0405	d085	0405	00000405
47	2746	8fa7c6	0406	d086	0406	00000406
48	2747	8fa7c7	0407	d087	0407	00000407
49	2748	8fa7c8	0408	d088	0408	00000408
50	2749	8fa7c9	0409	d089	0409	00000409
51	274a	8fa7ca	040a	d08a	040a	0000040a
52	274b	8fa7cb	040b	d08b	040b	0000040b
53	274c	8fa7cc	040c	d08c	040c	0000040c
54	274d	8fa7cd	040e	d08e	040e	0000040e
55	274e	8fa7ce	040f	d08f	040f	0000040f
56	2772	8fa7f2	0452	d192	0452	00000452
57	2773	8fa7f3	0453	d193	0453	00000453
58	2774	8fa7f4	0454	d194	0454	00000454
59	2775	8fa7f5	0455	d195	0455	00000455
60	2776	8fa7f6	0456	d196	0456	00000456
61	2777	8fa7f7	0457	d197	0457	00000457
62	2778	8fa7f8	0458	d198	0458	00000458
63	2779	8fa7f9	0459	d199	0459	00000459
64	277a	8fa7fa	045a	d19a	045a	0000045a
