# JIS X 0208:1997 Database for Adobe-Japan1-6
# Based on UniJIS2004-UTF{8,16,32}-H CMap Files
# by Ken Lunde (lunde@adobe.com)
# Version January 29, 2007
#
# Adobe-Japan1-6 CIDs in brackets are those that were originally
# encoded in the UniJIS-UCS2-H CMap file, whose use has been
# deprecated for several years.
#
# Adobe-Japan1-6 CIDs in braces are those that represent the
# default glyphs when using the UniJIS-UTF{8,16,32}-H CMap files,
# which are considered JIS90-savvy.
#
KuTen	2022JP	SJIS	EUCJP	Unicode	Adobe-Japan1-6
1-0101	0x2121	0x8140	0xA1A1	U+3000	633
1-0102	0x2122	0x8141	0xA1A2	U+3001	634
1-0103	0x2123	0x8142	0xA1A3	U+3002	635
1-0104	0x2124	0x8143	0xA1A4	U+FF0C	636
1-0105	0x2125	0x8144	0xA1A5	U+FF0E	637
1-0106	0x2126	0x8145	0xA1A6	U+30FB	638
1-0107	0x2127	0x8146	0xA1A7	U+FF1A	639
1-0108	0x2128	0x8147	0xA1A8	U+FF1B	640
1-0109	0x2129	0x8148	0xA1A9	U+FF1F	641
1-0110	0x212A	0x8149	0xA1AA	U+FF01	642
1-0111	0x212B	0x814A	0xA1AB	U+309B	643
1-0112	0x212C	0x814B	0xA1AC	U+309C	644
1-0113	0x212D	0x814C	0xA1AD	U+00B4	645
1-0114	0x212E	0x814D	0xA1AE	U+FF40	646
1-0115	0x212F	0x814E	0xA1AF	U+00A8	647
1-0116	0x2130	0x814F	0xA1B0	U+FF3E	648
1-0117	0x2131	0x8150	0xA1B1	U+FFE3	649
1-0118	0x2132	0x8151	0xA1B2	U+FF3F	650
1-0119	0x2133	0x8152	0xA1B3	U+30FD	651
1-0120	0x2134	0x8153	0xA1B4	U+30FE	652
1-0121	0x2135	0x8154	0xA1B5	U+309D	653
1-0122	0x2136	0x8155	0xA1B6	U+309E	654
1-0123	0x2137	0x8156	0xA1B7	U+3003	655
1-0124	0x2138	0x8157	0xA1B8	U+4EDD	656
1-0125	0x2139	0x8158	0xA1B9	U+3005	657
1-0126	0x213A	0x8159	0xA1BA	U+3006	658
1-0127	0x213B	0x815A	0xA1BB	U+3007	659
1-0128	0x213C	0x815B	0xA1BC	U+30FC	660
1-0129	0x213D	0x815C	0xA1BD	U+2015	661
1-0130	0x213E	0x815D	0xA1BE	U+2010	662
1-0131	0x213F	0x815E	0xA1BF	U+FF0F	663
1-0132	0x2140	0x815F	0xA1C0	U+FF3C	664
1-0133	0x2141	0x8160	0xA1C1	U+301C	665
1-0134	0x2142	0x8161	0xA1C2	U+2016	666
1-0135	0x2143	0x8162	0xA1C3	U+FF5C	667
1-0136	0x2144	0x8163	0xA1C4	U+2026	668
1-0137	0x2145	0x8164	0xA1C5	U+2025	669
1-0138	0x2146	0x8165	0xA1C6	U+2018	98 [670]
1-0139	0x2147	0x8166	0xA1C7	U+2019	96 [671]
1-0140	0x2148	0x8167	0xA1C8	U+201C	108 [672]
1-0141	0x2149	0x8168	0xA1C9	U+201D	122 [673]
1-0142	0x214A	0x8169	0xA1CA	U+FF08	674
1-0143	0x214B	0x816A	0xA1CB	U+FF09	675
1-0144	0x214C	0x816B	0xA1CC	U+3014	676
1-0145	0x214D	0x816C	0xA1CD	U+3015	677
1-0146	0x214E	0x816D	0xA1CE	U+FF3B	678
1-0147	0x214F	0x816E	0xA1CF	U+FF3D	679
1-0148	0x2150	0x816F	0xA1D0	U+FF5B	680
1-0149	0x2151	0x8170	0xA1D1	U+FF5D	681
1-0150	0x2152	0x8171	0xA1D2	U+3008	682
1-0151	0x2153	0x8172	0xA1D3	U+3009	683
1-0152	0x2154	0x8173	0xA1D4	U+300A	684
1-0153	0x2155	0x8174	0xA1D5	U+300B	685
1-0154	0x2156	0x8175	0xA1D6	U+300C	686
1-0155	0x2157	0x8176	0xA1D7	U+300D	687
1-0156	0x2158	0x8177	0xA1D8	U+300E	688
1-0157	0x2159	0x8178	0xA1D9	U+300F	689
1-0158	0x215A	0x8179	0xA1DA	U+3010	690
1-0159	0x215B	0x817A	0xA1DB	U+3011	691
1-0160	0x215C	0x817B	0xA1DC	U+FF0B	692
1-0161	0x215D	0x817C	0xA1DD	U+2212	693
1-0162	0x215E	0x817D	0xA1DE	U+00B1	694
1-0163	0x215F	0x817E	0xA1DF	U+00D7	695
1-0164	0x2160	0x8180	0xA1E0	U+00F7	696
1-0165	0x2161	0x8181	0xA1E1	U+FF1D	697
1-0166	0x2162	0x8182	0xA1E2	U+2260	698
1-0167	0x2163	0x8183	0xA1E3	U+FF1C	699
1-0168	0x2164	0x8184	0xA1E4	U+FF1E	700
1-0169	0x2165	0x8185	0xA1E5	U+2266	701
1-0170	0x2166	0x8186	0xA1E6	U+2267	702
1-0171	0x2167	0x8187	0xA1E7	U+221E	703
1-0172	0x2168	0x8188	0xA1E8	U+2234	704
1-0173	0x2169	0x8189	0xA1E9	U+2642	705
1-0174	0x216A	0x818A	0xA1EA	U+2640	706
1-0175	0x216B	0x818B	0xA1EB	U+00B0	707
1-0176	0x216C	0x818C	0xA1EC	U+2032	708
1-0177	0x216D	0x818D	0xA1ED	U+2033	709
1-0178	0x216E	0x818E	0xA1EE	U+2103	710
1-0179	0x216F	0x818F	0xA1EF	U+FFE5	711
1-0180	0x2170	0x8190	0xA1F0	U+FF04	712
1-0181	0x2171	0x8191	0xA1F1	U+FFE0	713
1-0182	0x2172	0x8192	0xA1F2	U+FFE1	714
1-0183	0x2173	0x8193	0xA1F3	U+FF05	715
1-0184	0x2174	0x8194	0xA1F4	U+FF03	716
1-0185	0x2175	0x8195	0xA1F5	U+FF06	717
1-0186	0x2176	0x8196	0xA1F6	U+FF0A	718
1-0187	0x2177	0x8197	0xA1F7	U+FF20	719
1-0188	0x2178	0x8198	0xA1F8	U+00A7	720
1-0189	0x2179	0x8199	0xA1F9	U+2606	721
1-0190	0x217A	0x819A	0xA1FA	U+2605	722
1-0191	0x217B	0x819B	0xA1FB	U+25CB	723
1-0192	0x217C	0x819C	0xA1FC	U+25CF	724
1-0193	0x217D	0x819D	0xA1FD	U+25CE	725
1-0194	0x217E	0x819E	0xA1FE	U+25C7	726
1-0201	0x2221	0x819F	0xA2A1	U+25C6	727
1-0202	0x2222	0x81A0	0xA2A2	U+25A1	728
1-0203	0x2223	0x81A1	0xA2A3	U+25A0	729
1-0204	0x2224	0x81A2	0xA2A4	U+25B3	730
1-0205	0x2225	0x81A3	0xA2A5	U+25B2	731
1-0206	0x2226	0x81A4	0xA2A6	U+25BD	732
1-0207	0x2227	0x81A5	0xA2A7	U+25BC	733
1-0208	0x2228	0x81A6	0xA2A8	U+203B	734
1-0209	0x2229	0x81A7	0xA2A9	U+3012	735
1-0210	0x222A	0x81A8	0xA2AA	U+2192	736
1-0211	0x222B	0x81A9	0xA2AB	U+2190	737
1-0212	0x222C	0x81AA	0xA2AC	U+2191	738
1-0213	0x222D	0x81AB	0xA2AD	U+2193	739
1-0214	0x222E	0x81AC	0xA2AE	U+3013	740
1-0226	0x223A	0x81B8	0xA2BA	U+2208	741
1-0227	0x223B	0x81B9	0xA2BB	U+220B	742
1-0228	0x223C	0x81BA	0xA2BC	U+2286	743
1-0229	0x223D	0x81BB	0xA2BD	U+2287	744
1-0230	0x223E	0x81BC	0xA2BE	U+2282	745
1-0231	0x223F	0x81BD	0xA2BF	U+2283	746
1-0232	0x2240	0x81BE	0xA2C0	U+222A	747
1-0233	0x2241	0x81BF	0xA2C1	U+2229	748
1-0242	0x224A	0x81C8	0xA2CA	U+2227	749
1-0243	0x224B	0x81C9	0xA2CB	U+2228	750
1-0244	0x224C	0x81CA	0xA2CC	U+FFE2	751
1-0245	0x224D	0x81CB	0xA2CD	U+21D2	752
1-0246	0x224E	0x81CC	0xA2CE	U+21D4	753
1-0247	0x224F	0x81CD	0xA2CF	U+2200	754
1-0248	0x2250	0x81CE	0xA2D0	U+2203	755
1-0260	0x225C	0x81DA	0xA2DC	U+2220	756
1-0261	0x225D	0x81DB	0xA2DD	U+22A5	757
1-0262	0x225E	0x81DC	0xA2DE	U+2312	758
1-0263	0x225F	0x81DD	0xA2DF	U+2202	759
1-0264	0x2260	0x81DE	0xA2E0	U+2207	760
1-0265	0x2261	0x81DF	0xA2E1	U+2261	761
1-0266	0x2262	0x81E0	0xA2E2	U+2252	762
1-0267	0x2263	0x81E1	0xA2E3	U+226A	763
1-0268	0x2264	0x81E2	0xA2E4	U+226B	764
1-0269	0x2265	0x81E3	0xA2E5	U+221A	765
1-0270	0x2266	0x81E4	0xA2E6	U+223D	766
1-0271	0x2267	0x81E5	0xA2E7	U+221D	767
1-0272	0x2268	0x81E6	0xA2E8	U+2235	768
1-0273	0x2269	0x81E7	0xA2E9	U+222B	769
1-0274	0x226A	0x81E8	0xA2EA	U+222C	770
1-0282	0x2272	0x81F0	0xA2F2	U+212B	771
1-0283	0x2273	0x81F1	0xA2F3	U+2030	772
1-0284	0x2274	0x81F2	0xA2F4	U+266F	773
1-0285	0x2275	0x81F3	0xA2F5	U+266D	774
1-0286	0x2276	0x81F4	0xA2F6	U+266A	775
1-0287	0x2277	0x81F5	0xA2F7	U+2020	776
1-0288	0x2278	0x81F6	0xA2F8	U+2021	777
1-0289	0x2279	0x81F7	0xA2F9	U+00B6	778
1-0294	0x227E	0x81FC	0xA2FE	U+25EF	779
1-0316	0x2330	0x824F	0xA3B0	U+FF10	780
1-0317	0x2331	0x8250	0xA3B1	U+FF11	781
1-0318	0x2332	0x8251	0xA3B2	U+FF12	782
1-0319	0x2333	0x8252	0xA3B3	U+FF13	783
1-0320	0x2334	0x8253	0xA3B4	U+FF14	784
1-0321	0x2335	0x8254	0xA3B5	U+FF15	785
1-0322	0x2336	0x8255	0xA3B6	U+FF16	786
1-0323	0x2337	0x8256	0xA3B7	U+FF17	787
1-0324	0x2338	0x8257	0xA3B8	U+FF18	788
1-0325	0x2339	0x8258	0xA3B9	U+FF19	789
1-0333	0x2341	0x8260	0xA3C1	U+FF21	790
1-0334	0x2342	0x8261	0xA3C2	U+FF22	791
1-0335	0x2343	0x8262	0xA3C3	U+FF23	792
1-0336	0x2344	0x8263	0xA3C4	U+FF24	793
1-0337	0x2345	0x8264	0xA3C5	U+FF25	794
1-0338	0x2346	0x8265	0xA3C6	U+FF26	795
1-0339	0x2347	0x8266	0xA3C7	U+FF27	796
1-0340	0x2348	0x8267	0xA3C8	U+FF28	797
1-0341	0x2349	0x8268	0xA3C9	U+FF29	798
1-0342	0x234A	0x8269	0xA3CA	U+FF2A	799
1-0343	0x234B	0x826A	0xA3CB	U+FF2B	800
1-0344	0x234C	0x826B	0xA3CC	U+FF2C	801
1-0345	0x234D	0x826C	0xA3CD	U+FF2D	802
1-0346	0x234E	0x826D	0xA3CE	U+FF2E	803
1-0347	0x234F	0x826E	0xA3CF	U+FF2F	804
1-0348	0x2350	0x826F	0xA3D0	U+FF30	805
1-0349	0x2351	0x8270	0xA3D1	U+FF31	806
1-0350	0x2352	0x8271	0xA3D2	U+FF32	807
1-0351	0x2353	0x8272	0xA3D3	U+FF33	808
1-0352	0x2354	0x8273	0xA3D4	U+FF34	809
1-0353	0x2355	0x8274	0xA3D5	U+FF35	810
1-0354	0x2356	0x8275	0xA3D6	U+FF36	811
