# JIS X 0213:2004 Database for Adobe-Japan1-6
# Based on UniJIS-UTF{8,16,32}-H CMap Files
# by Ken Lunde (lunde@adobe.com)
# Version June 6, 2007
#
# Adobe-Japan1-6 CIDs in parentheses are those that are encoded in the
# "UniJISX0213-UTF32-H" CMap file, which is based on the Mac OS X
# "Hiragino" fonts, and are generally for proportional symbols.
#
# Adobe-Japan1-6 CIDs in braces are those that represent the
# prototypical glyphs from the JIS X 0213:2004 standard, and are
# specific to Adobe-Japan1-6 (that is, they are above CID=20316). They
# are made accessible through the OpenType 'jp04' GSUB feature.
#
# Adobe-Japan1-6 CIDs in brackets are those that represent the
# combination of two CIDs that represent the Unicode
# representation, and are thus not directly encoded according to
# Unicode. The Unicode representation has two values, separated 
# by a colon. They are made accessible through the OpenType 'ccmp'
# GSUB feature.
#
# The ten characters added for JIS X 0213:2004 are at the very end of
# the file, for easy identification.
#
KuTen	2022JP	SJIS	EUCJP	Unicode	Adobe-Japan1-6
1-0215	0x222F	0x81AD	0xA2AF	U+0027	8
1-0216	0x2230	0x81AE	0xA2B0	U+0022	3
1-0217	0x2231	0x81AF	0xA2B1	U+002D	14
1-0218	0x2232	0x81B0	0xA2B2	U+007E	100
1-0219	0x2233	0x81B1	0xA2B3	U+3033	12108
1-0220	0x2234	0x81B2	0xA2B4	U+3034	12109
1-0221	0x2235	0x81B3	0xA2B5	U+3035	12110
1-0222	0x2236	0x81B4	0xA2B6	U+303B	12106
1-0223	0x2237	0x81B5	0xA2B7	U+303C	16194
1-0224	0x2238	0x81B6	0xA2B8	U+30FF	16195
1-0225	0x2239	0x81B7	0xA2B9	U+309F	12181
1-0234	0x2242	0x81C0	0xA2C2	U+2284	15472
1-0235	0x2243	0x81C1	0xA2C3	U+2285	15473
1-0236	0x2244	0x81C2	0xA2C4	U+228A	15474
1-0237	0x2245	0x81C3	0xA2C5	U+228B	15475
1-0238	0x2246	0x81C4	0xA2C6	U+2209	15476
1-0239	0x2247	0x81C5	0xA2C7	U+2205	12184 (15477)
1-0240	0x2248	0x81C6	0xA2C8	U+2305	15478
1-0241	0x2249	0x81C7	0xA2C9	U+2306	15479
1-0249	0x2251	0x81CF	0xA2D1	U+2295	12188 (15486)
1-0250	0x2252	0x81D0	0xA2D2	U+2296	12186 (15487)
1-0251	0x2253	0x81D1	0xA2D3	U+2297	12189 (15488)
1-0252	0x2254	0x81D2	0xA2D4	U+2225	15489
1-0253	0x2255	0x81D3	0xA2D5	U+2226	15490
1-0254	0x2256	0x81D4	0xA2D6	U+FF5F	12131
1-0255	0x2257	0x81D5	0xA2D7	U+FF60	12132
1-0256	0x2258	0x81D6	0xA2D8	U+3018	12129
1-0257	0x2259	0x81D7	0xA2D9	U+3019	12130
1-0258	0x225A	0x81D8	0xA2DA	U+3016	16197
1-0259	0x225B	0x81D9	0xA2DB	U+3017	16198
1-0275	0x226B	0x81E9	0xA2EB	U+2262	15505
1-0276	0x226C	0x81EA	0xA2EC	U+2243	12120 (15506)
1-0277	0x226D	0x81EB	0xA2ED	U+2245	15507
1-0278	0x226E	0x81EC	0xA2EE	U+2248	15508
1-0279	0x226F	0x81ED	0xA2EF	U+2276	15509
1-0280	0x2270	0x81EE	0xA2F0	U+2277	15510
1-0281	0x2271	0x81EF	0xA2F1	U+2194	12201 (15511)
1-0290	0x227A	0x81F8	0xA2FA	U+266E	16199
1-0291	0x227B	0x81F9	0xA2FB	U+266B	16200
1-0292	0x227C	0x81FA	0xA2FC	U+266C	12100
1-0293	0x227D	0x81FB	0xA2FD	U+2669	12099
1-0301	0x2321	0x8240	0xA3A1	U+25B7	8010
1-0302	0x2322	0x8241	0xA3A2	U+25B6	12195
1-0303	0x2323	0x8242	0xA3A3	U+25C1	8009
1-0304	0x2324	0x8243	0xA3A4	U+25C0	12194
1-0305	0x2325	0x8244	0xA3A5	U+2197	12205
1-0306	0x2326	0x8245	0xA3A6	U+2198	12202
1-0307	0x2327	0x8246	0xA3A7	U+2196	12204
1-0308	0x2328	0x8247	0xA3A8	U+2199	12203
1-0309	0x2329	0x8248	0xA3A9	U+21C4	8310
1-0310	0x232A	0x8249	0xA3AA	U+21E8	8014
1-0311	0x232B	0x824A	0xA3AB	U+21E6	8013
1-0312	0x232C	0x824B	0xA3AC	U+21E7	8012
1-0313	0x232D	0x824C	0xA3AD	U+21E9	8011
1-0314	0x232E	0x824D	0xA3AE	U+2934	16201
1-0315	0x232F	0x824E	0xA3AF	U+2935	16202
1-0326	0x233A	0x8259	0xA3BA	U+29BF	16203
1-0327	0x233B	0x825A	0xA3BB	U+25C9	8210
1-0328	0x233C	0x825B	0xA3BC	U+303D	12179
1-0329	0x233D	0x825C	0xA3BD	U+FE46	12640
1-0330	0x233E	0x825D	0xA3BE	U+FE45	12639
1-0331	0x233F	0x825E	0xA3BF	U+25E6	12254
1-0332	0x2340	0x825F	0xA3C0	U+2022	119
1-0359	0x235B	0x827A	0xA3DB	U+2213	12118 (15512)
1-0360	0x235C	0x827B	0xA3DC	U+2135	12089 (15513)
1-0361	0x235D	0x827C	0xA3DD	U+210F	12092 (15514)
1-0362	0x235E	0x827D	0xA3DE	U+33CB	8034
1-0363	0x235F	0x827E	0xA3DF	U+2113	8025
1-0364	0x2360	0x8280	0xA3E0	U+2127	15515
1-0391	0x237B	0x829B	0xA3FB	U+30A0	16205
1-0392	0x237C	0x829C	0xA3FC	U+2013	114
1-0393	0x237D	0x829D	0xA3FD	U+29FA	16207
1-0394	0x237E	0x829E	0xA3FE	U+29FB	16208
1-0484	0x2474	0x82F2	0xA4F4	U+3094	7958
1-0485	0x2475	0x82F3	0xA4F5	U+3095	7959
1-0486	0x2476	0x82F4	0xA4F6	U+3096	7960
1-0487	0x2477	0x82F5	0xA4F7	U+304B:U+309A	852:16327 [16209]
1-0488	0x2478	0x82F6	0xA4F8	U+304D:U+309A	854:16327 [16210]
